location,WMO-index,latitude,longitude,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
TOLEDO (SPAIN) ,8272,39.53 ,-04.02,31/12/2018,23Z,3.4,-,-,110º (E),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,22Z,4.7,-,-,20º (N),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,21Z,6.1,-,-,90º (E),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,20Z,7.0,-,-,70º (E),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,19Z,7.7,-,-,150º (SE),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,18Z,10.0,-,-,360º (N),5.4,-,-,-,-,-,14.9,-,-
,,,,31/12/2018,17Z,12.7,-,-,80º (E),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,16Z,14.9,-,-,190º (S),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,15Z,14.6,-,-,170º (S),5.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,14Z,13.4,-,-,130º (SE),7.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,13Z,11.6,-,-,130º (SE),7.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,12Z,9.0,-,-,130º (SE),7.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,11Z,6.2,-,-,120º (SE),11.2,-,-,-,-,-,-,-,-
,,,,31/12/2018,10Z,3.7,-,-,120º (SE),9.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,09Z,0.7,-,-,110º (E),9.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,08Z,-1.6,-,-,110º (E),7.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,07Z,-1.7,-,-,170º (S),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,06Z,-0.9,-,-,150º (SE),1.8,-,-,-,-,-,-,-0.9,-
,,,,31/12/2018,05Z,-0.4,-,-,80º (E),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,04Z,-0.1,-,-,110º (E),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,03Z,0.8,-,-,100º (E),5.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,02Z,1.0,-,-,90º (E),5.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,01Z,1.1,-,-,140º (SE),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,00Z,2.6,-,-,80º (E),7.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,23Z,2.4,-,-,120º (SE),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,22Z,4.2,-,-,130º (SE),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,21Z,5.9,-,-,60º (NE),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,20Z,6.3,-,-,180º (S),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,19Z,8.3,-,-,40º (NE),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,18Z,9.3,-,-,100º (E),1.8,-,-,-,-,-,14.2,-,-
,,,,30/12/2018,17Z,11.8,-,-,160º (S),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,16Z,13.5,-,-,130º (SE),7.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,15Z,14.1,-,-,70º (E),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,14Z,13.4,-,-,110º (E),7.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,13Z,12.0,-,-,120º (SE),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,12Z,9.8,-,-,120º (SE),9.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,11Z,7.1,-,-,110º (E),11.2,-,-,-,-,-,-,-,-
,,,,30/12/2018,10Z,4.8,-,-,110º (E),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,09Z,2.8,-,-,100º (E),7.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,08Z,-1.0,-,-,110º (E),7.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,07Z,-1.6,-,-,90º (E),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,06Z,-1.2,-,-,340º (N),1.8,-,-,-,-,-,-,-1.4,-
,,,,30/12/2018,05Z,-1.0,-,-,90º (E),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,04Z,0.9,-,-,170º (S),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,03Z,1.8,-,-,90º (E),7.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,02Z,1.6,-,-,140º (SE),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,01Z,1.0,-,-,90º (E),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,00Z,2.8,-,-,120º (SE),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,23Z,4.0,-,-,300º (NW),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,22Z,4.3,-,-,260º (W),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,21Z,4.9,-,-,350º (N),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,20Z,6.2,-,-,340º (N),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,19Z,7.4,-,-,60º (NE),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,18Z,9.0,-,-,110º (E),1.8,-,-,-,-,-,13.8,-,-
,,,,29/12/2018,17Z,11.3,-,-,300º (NW),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,16Z,13.0,-,-,170º (S),7.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,15Z,13.7,-,-,170º (S),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,14Z,12.3,-,-,140º (SE),7.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,13Z,10.6,-,-,130º (SE),11.2,-,-,-,-,-,-,-,-
,,,,29/12/2018,12Z,8.1,-,-,140º (SE),9.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,11Z,4.6,-,-,130º (SE),3.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,10Z,2.1,-,-,190º (S),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,09Z,-0.4,-,-,160º (S),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,08Z,-2.2,-,-,170º (S),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,07Z,-1.0,-,-,60º (NE),3.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,06Z,-0.7,-,-,160º (S),3.6,-,-,-,-,-,-,-0.8,-
,,,,29/12/2018,05Z,-0.2,-,-,180º (S),3.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,04Z,0.2,-,-,50º (NE),3.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,03Z,0.0,-,-,120º (SE),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,02Z,0.4,-,-,330º (NW),3.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,01Z,0.4,-,-,110º (E),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,00Z,1.4,-,-,150º (SE),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,23Z,1.9,-,-,0º (N),0.0,-,-,-,-,-,-,-,-
,,,,28/12/2018,22Z,2.6,-,-,60º (NE),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,21Z,2.7,-,-,100º (E),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,20Z,3.8,-,-,160º (S),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,19Z,4.4,-,-,270º (W),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,18Z,6.0,-,-,90º (E),9.4,-,-,-,-,-,10.8,-,-
,,,,28/12/2018,17Z,7.9,-,-,110º (E),7.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,16Z,10.3,-,-,200º (S),5.4,-,-,-,-,-,-,-,-
,,,,28/12/2018,15Z,10.4,-,-,190º (S),5.4,-,-,-,-,-,-,-,-
,,,,28/12/2018,14Z,7.6,-,-,170º (S),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,13Z,4.0,-,-,130º (SE),5.4,-,-,-,-,-,-,-,-
,,,,28/12/2018,12Z,3.5,-,-,140º (SE),5.4,-,-,-,-,-,-,-,-
,,,,28/12/2018,11Z,2.9,-,-,120º (SE),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,10Z,1.9,-,-,120º (SE),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,09Z,0.4,-,-,90º (E),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,08Z,-0.6,-,-,190º (S),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,07Z,-1.3,-,-,70º (E),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,06Z,-1.4,-,-,80º (E),3.6,-,-,-,-,-,-,-1.5,-
,,,,28/12/2018,05Z,-1.2,-,-,90º (E),5.4,-,-,-,-,-,-,-,-
,,,,28/12/2018,04Z,-1.3,-,-,100º (E),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,03Z,-0.5,-,-,190º (S),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,02Z,1.0,-,-,170º (S),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,01Z,1.7,-,-,300º (NW),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,00Z,2.4,-,-,90º (E),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,23Z,3.7,-,-,110º (E),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,22Z,4.5,-,-,270º (W),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,21Z,5.5,-,-,120º (SE),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,20Z,5.5,-,-,0º (N),0.0,-,-,-,-,-,-,-,-
,,,,27/12/2018,19Z,6.3,-,-,20º (N),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,18Z,6.9,-,-,110º (E),3.6,-,-,-,-,-,11.6,-,-
