"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"CACERES (SPAIN) ","08261","39.28 ","-06.20 ","13/02/2019","23Z","7.7","77%","1028.8 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","9.0","72%","1028.7 Hpa","150º (SE)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","10.3","69%","1028.2 Hpa","160º (S)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","20Z","10.6","68%","1028.1 Hpa","150º (SE)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","10.1","76%","1028.2 Hpa","160º (S)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","12.1","70%","1027.5 Hpa","160º (S)","1.8","-","-","-","-","-","17.3","-","-"
,,,,"13/02/2019","17Z","16.5","50%","1026.6 Hpa","30º (NE)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","17.1","47%","1026.8 Hpa","80º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","16.6","47%","1027.0 Hpa","20º (N)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","14Z","16.2","51%","1027.4 Hpa","100º (E)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","15.0","56%","1028.5 Hpa","80º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","13.8","56%","1029.6 Hpa","80º (E)","5.4","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","11Z","12.1","60%","1030.2 Hpa","60º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","9.5","69%","1030.7 Hpa","20º (N)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","7.3","76%","1030.9 Hpa","100º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","08Z","4.1","88%","1031.3 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","4.0","86%","1030.9 Hpa","20º (N)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","4.5","86%","1030.6 Hpa","220º (SW)","1.8","0/8","-","-","-","-","-","3.3","Clear"
,,,,"13/02/2019","05Z","4.2","86%","1030.4 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","3.5","89%","1030.6 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","3.8","89%","1030.8 Hpa","220º (SW)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","02Z","4.6","83%","1030.8 Hpa","250º (W)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","6.0","74%","1030.7 Hpa","160º (S)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","5.9","76%","1030.8 Hpa","190º (S)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","23Z","6.4","72%","1031.0 Hpa","210º (SW)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","9.2","62%","1030.5 Hpa","110º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","21Z","9.0","61%","1030.4 Hpa","140º (SE)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","20Z","7.5","69%","1030.8 Hpa","180º (S)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","19Z","8.0","72%","1030.6 Hpa","180º (S)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","18Z","10.4","64%","1029.7 Hpa","220º (SW)","3.6","-","-","-","-","-","15.3","-","-"
,,,,"12/02/2019","17Z","14.7","46%","1028.9 Hpa","20º (N)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","16Z","15.3","43%","1028.8 Hpa","80º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","15Z","14.9","43%","1028.8 Hpa","50º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","14Z","14.5","45%","1029.2 Hpa","70º (E)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","13Z","13.5","50%","1030.0 Hpa","80º (E)","11.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","12Z","12.0","58%","1031.0 Hpa","80º (E)","7.6","1/8","-","-","CI","-","-","-","Few clouds"
,,,,"12/02/2019","11Z","10.1","68%","1031.8 Hpa","60º (NE)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","10Z","8.1","72%","1032.0 Hpa","70º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","09Z","6.1","76%","1032.0 Hpa","60º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","08Z","2.7","89%","1032.0 Hpa","280º (W)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","07Z","3.0","86%","1031.5 Hpa","190º (S)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","06Z","3.3","87%","1031.0 Hpa","190º (S)","1.8","0/8","-","-","-","-","-","3.3","Clear"
,,,,"12/02/2019","05Z","5.1","80%","1030.6 Hpa","120º (SE)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","04Z","4.5","95%","1030.5 Hpa","130º (SE)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","03Z","4.3","93%","1030.8 Hpa","250º (W)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","02Z","5.0","93%","1030.9 Hpa","220º (SW)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","01Z","5.4","90%","1030.8 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
