"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"VIANA DO CASTELO-CHAFE (PORTUGAL) ","08551","+41.38 ","-08.48 ","13/02/2019","23Z","7.5","86%","1027.5 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","8.4","82%","1027.6 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","7.7","88%","1027.6 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","20Z","8.5","70%","1027.5 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","10.3","58%","1027.6 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","11.3","69%","1027.4 Hpa","-","-","-","-","-","CI","-","17.1","-","-"
,,,,"13/02/2019","17Z","14.5","52%","1027.2 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","16.1","41%","1027.4 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","17.0","39%","1027.6 Hpa","-","-","-","-","-","CI","-","-","-","-"
,,,,"13/02/2019","14Z","16.8","43%","1028.0 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","16.4","50%","1028.7 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","16.5","51%","1029.5 Hpa","-","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","11Z","13.2","58%","1029.7 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","10.2","64%","1029.7 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","7.0","78%","1029.7 Hpa","-","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","08Z","4.2","86%","1029.7 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","4.2","89%","1029.5 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","4.9","83%","1029.3 Hpa","360º (N)","-","-","-","-","-","-","-","4.5","-"
,,,,"13/02/2019","05Z","5.1","88%","1029.2 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","5.0","90%","1029.2 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","5.5","90%","1029.5 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","02Z","5.7","93%","1029.6 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","5.7","94%","1029.8 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","6.3","93%","1029.7 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","23Z","6.7","91%","1029.9 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","6.3","93%","1030.1 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","21Z","7.2","88%","1029.9 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","20Z","7.9","86%","1029.9 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","19Z","9.2","80%","1029.9 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","18Z","10.2","84%","1029.6 Hpa","-","-","-","-","-","CI","-","16.5","-","-"
,,,,"12/02/2019","17Z","13.4","64%","1029.6 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","16Z","14.1","64%","1029.4 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","15Z","14.5","58%","1029.3 Hpa","-","-","-","-","-","CI","-","-","-","-"
,,,,"12/02/2019","14Z","14.6","62%","1029.7 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","13Z","16.1","48%","1030.2 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","12Z","15.5","55%","1030.9 Hpa","-","-","-","-","-","CI","-","-","-","-"
,,,,"12/02/2019","11Z","12.6","61%","1031.4 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","10Z","9.6","69%","1031.4 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","09Z","7.2","80%","1031.3 Hpa","-","-","-","-","-","CI","-","-","-","-"
,,,,"12/02/2019","08Z","4.9","88%","1031.2 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","07Z","4.4","92%","1030.8 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","06Z","3.4","95%","1030.7 Hpa","360º (N)","-","-","-","-","-","-","-","3.4","-"
,,,,"12/02/2019","05Z","4.7","90%","1031.0 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","04Z","4.2","95%","1031.0 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","03Z","4.5","95%","1031.3 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","02Z","4.9","97%","1031.3 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","01Z","5.5","95%","1031.3 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","00Z","5.6","97%","1031.1 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","23Z","5.8","96%","1031.1 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","22Z","5.8","98%","1031.0 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","21Z","6.2","97%","1030.7 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","20Z","7.6","93%","1030.5 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","19Z","9.3","86%","1030.4 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","18Z","10.6","78%","1030.1 Hpa","-","-","-","-","-","-","-","13.8","-","-"
,,,,"11/02/2019","17Z","11.9","71%","1029.8 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","16Z","12.5","69%","1029.8 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","15Z","12.1","69%","1030.0 Hpa","-","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","14Z","12.4","61%","1030.1 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","13Z","13.5","51%","1030.6 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","12Z","13.4","51%","1031.3 Hpa","-","-","-","-","-","CI","-","-","-","-"
,,,,"11/02/2019","11Z","11.5","64%","1031.8 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","10Z","9.2","73%","1031.7 Hpa","360º (N)","-","-","-","-","-","-","-","-","-"
