"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"GRANADA/AEROPUERTO (SPAIN) ","08419","37.11 ","-03.47 ","13/02/2019","23Z","4.1","89%","1031.6 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","5.4","83%","1031.2 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","6.6","79%","1030.3 Hpa","210º (SW)","1.8","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","20Z","9.5","71%","1029.4 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","11.5","62%","1028.2 Hpa","70º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","12.6","59%","1027.2 Hpa","170º (S)","16.6","0/8","-","-","-","-","18.4","-","Clear"
,,,,"13/02/2019","17Z","15.9","44%","1026.2 Hpa","160º (S)","18.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","17.3","37%","1025.9 Hpa","150º (SE)","18.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","18.2","29%","1025.8 Hpa","140º (SE)","14.8","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","14Z","18.4","30%","1025.8 Hpa","130º (SE)","16.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","15.9","35%","1027.4 Hpa","60º (NE)","5.4","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","12Z","14.7","46%","1028.6 Hpa","0º (N)","0.0","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","11Z","11.8","61%","1029.7 Hpa","320º (NW)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","9.3","67%","1030.6 Hpa","100º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","5.1","85%","1031.8 Hpa","0º (N)","0.0","0/8","-","-","-","-","-","-","Clear, mist"
,,,,"13/02/2019","08Z","0.8","95%","1032.9 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","-0.8","95%","1033.0 Hpa","160º (S)","3.6","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","06Z","-0.2","95%","1032.7 Hpa","220º (SW)","1.8","0/8","-","-","-","-","-","-0.3","Clear"
,,,,"13/02/2019","05Z","-0.1","93%","1032.6 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","1.4","97%","1032.2 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","1.5","93%","1032.4 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","02Z","3.1","97%","1032.2 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","3.1","95%","1032.6 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","3.6","93%","1032.7 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","23Z","4.8","91%","1032.6 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","5.7","91%","1032.6 Hpa","170º (S)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","21Z","6.8","87%","1031.8 Hpa","0º (N)","0.0","1/8","1/8 SC","-","-","-","-","-","Few clouds"
,,,,"12/02/2019","20Z","8.0","84%","1031.3 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","19Z","9.3","78%","1030.6 Hpa","290º (W)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","18Z","11.8","71%","1029.3 Hpa","220º (SW)","9.4","5/8","5/8 SC","-","-","-","16.9","-","Cloudy"
,,,,"12/02/2019","17Z","14.6","61%","1028.2 Hpa","250º (W)","14.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","16Z","14.9","58%","1028.2 Hpa","240º (SW)","11.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","15Z","15.9","56%","1027.6 Hpa","260º (W)","13.0","5/8","5/8 SC","-","-","-","-","-","Cloudy"
,,,,"12/02/2019","14Z","16.9","52%","1027.4 Hpa","170º (S)","11.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","13Z","15.7","56%","1028.3 Hpa","140º (SE)","16.6","3/8","3/8 SC","-","-","-","-","-","Scattered clouds"
,,,,"12/02/2019","12Z","16.1","59%","1028.8 Hpa","160º (S)","16.6","2/8","2/8 CU","-","-","-","-","-","Few clouds"
,,,,"12/02/2019","11Z","13.0","68%","1030.0 Hpa","360º (N)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","10Z","9.8","76%","1031.0 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","09Z","6.7","87%","1031.6 Hpa","0º (N)","0.0","1/8","-","1/8 AC","-","-","-","-","Few clouds"
,,,,"12/02/2019","08Z","3.7","97%","1031.8 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","07Z","2.3","97%","1031.7 Hpa","230º (SW)","1.8","8/8","8/8 SC","-","-","-","-","-","Overcast"
,,,,"12/02/2019","06Z","1.5","96%","1031.5 Hpa","190º (S)","1.8","1/8","-","-","CI","-","-","1.2","Few clouds"
,,,,"12/02/2019","05Z","1.5","95%","1031.3 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","04Z","2.0","95%","1030.8 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","03Z","2.6","94%","1030.7 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","02Z","4.0","95%","1030.4 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","01Z","4.1","93%","1030.6 Hpa","230º (SW)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","00Z","4.8","91%","1030.5 Hpa","250º (W)","1.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","23Z","5.6","91%","1029.8 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","22Z","7.4","85%","1029.3 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","21Z","9.7","76%","1028.0 Hpa","200º (S)","3.6","5/8","5/8 SC","N/A","N/A","-","-","-","Cloudy"
,,,,"11/02/2019","20Z","10.1","76%","1027.6 Hpa","250º (W)","1.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","19Z","10.8","72%","1026.8 Hpa","230º (SW)","5.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","18Z","13.5","56%","1025.2 Hpa","290º (W)","7.6","0/8","-","-","-","-","18.6","-","Clear"
,,,,"11/02/2019","17Z","17.3","52%","1023.7 Hpa","280º (W)","9.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","16Z","18.4","47%","1023.4 Hpa","290º (W)","7.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","15Z","18.2","48%","1023.7 Hpa","300º (NW)","5.4","1/8","1/8 CU","-","-","-","-","-","Few clouds"
