"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"GUADALAJARA (SPAIN) ","08226","40.37 ","-03.09","13/02/2019","23Z","6.1","39%","1031.6 Hpa","140º (SE)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","7.8","31%","1030.8 Hpa","170º (S)","9.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","8.6","33%","1030.1 Hpa","200º (S)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","20Z","9.2","37%","1029.5 Hpa","170º (S)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","9.7","46%","1029.0 Hpa","180º (S)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","13.8","34%","1027.2 Hpa","160º (S)","5.4","-","-","-","-","-","17.8","-","-"
,,,,"13/02/2019","17Z","17.2","27%","1025.9 Hpa","250º (W)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","17.7","17%","1025.7 Hpa","150º (SE)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","16.4","38%","1026.0 Hpa","360º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","14Z","14.9","42%","1026.9 Hpa","350º (N)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","14.1","44%","1028.0 Hpa","100º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","12.4","48%","1029.5 Hpa","290º (W)","3.6","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","11Z","9.4","62%","1030.7 Hpa","340º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","6.7","66%","1031.5 Hpa","30º (NE)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","5.1","73%","1032.0 Hpa","40º (NE)","1.8","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","08Z","1.2","85%","1033.0 Hpa","360º (N)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","0.6","89%","1032.8 Hpa","40º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","0.7","85%","1032.6 Hpa","60º (NE)","1.8","0/8","-","-","-","-","-","0.7","Clear"
,,,,"13/02/2019","05Z","1.0","82%","1032.6 Hpa","340º (N)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","1.5","79%","1032.5 Hpa","60º (NE)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","1.7","78%","1032.5 Hpa","360º (N)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","02Z","2.6","73%","1032.4 Hpa","330º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","3.0","71%","1032.4 Hpa","350º (N)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","3.9","67%","1032.3 Hpa","30º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","23Z","4.7","65%","1032.2 Hpa","80º (E)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","5.2","62%","1032.4 Hpa","130º (SE)","3.6","-","-","-","-","-","-","-","-"
