"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"LLEIDA (SPAIN) ","08171","41.37 ","00.35 ","13/02/2019","23Z","5.0","83%","1034.4 Hpa","20º (N)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","6.0","82%","1034.1 Hpa","30º (NE)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","6.9","82%","1033.7 Hpa","20º (N)","9.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","20Z","7.9","74%","1033.1 Hpa","360º (N)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","9.3","63%","1032.5 Hpa","20º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","12.0","54%","1031.7 Hpa","50º (NE)","3.6","-","-","-","-","-","17.2","-","-"
,,,,"13/02/2019","17Z","15.4","41%","1031.0 Hpa","60º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","17.0","38%","1030.8 Hpa","30º (NE)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","16.6","39%","1031.0 Hpa","300º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","14Z","16.1","40%","1031.3 Hpa","210º (SW)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","13.8","48%","1032.1 Hpa","360º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","11.5","53%","1033.3 Hpa","110º (E)","5.4","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","11Z","8.8","61%","1033.8 Hpa","360º (N)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","5.6","72%","1034.1 Hpa","70º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","2.6","84%","1034.3 Hpa","50º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","08Z","-0.3","92%","1034.3 Hpa","50º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","-1.4","94%","1033.7 Hpa","50º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","-1.6","92%","1033.4 Hpa","70º (E)","3.6","0/8","-","-","-","-","-","-1.6","Clear, mist"
,,,,"13/02/2019","05Z","-0.8","94%","1033.1 Hpa","20º (N)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","-1.0","92%","1032.9 Hpa","70º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","0.0","88%","1032.8 Hpa","250º (W)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","02Z","0.4","85%","1032.9 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","1.5","85%","1033.0 Hpa","50º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","2.6","81%","1033.1 Hpa","40º (NE)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","23Z","3.2","80%","1033.3 Hpa","30º (NE)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","3.9","79%","1033.3 Hpa","20º (N)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","21Z","5.3","73%","1032.9 Hpa","20º (N)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","20Z","5.8","73%","1032.5 Hpa","50º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","19Z","7.7","65%","1032.3 Hpa","360º (N)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","18Z","9.9","57%","1031.9 Hpa","100º (E)","1.8","-","-","-","-","-","14.4","-","-"
,,,,"12/02/2019","17Z","13.4","44%","1031.3 Hpa","180º (S)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","16Z","14.3","41%","1031.2 Hpa","200º (S)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","15Z","14.0","42%","1031.5 Hpa","220º (SW)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","14Z","12.8","44%","1032.2 Hpa","230º (SW)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","13Z","11.3","53%","1033.2 Hpa","240º (SW)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","12Z","9.6","59%","1034.3 Hpa","240º (SW)","9.4","0/8","-","-","-","-","-","-","Clear"
,,,,"12/02/2019","11Z","7.4","71%","1035.2 Hpa","220º (SW)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","10Z","5.7","78%","1035.2 Hpa","210º (SW)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","09Z","3.1","86%","1035.2 Hpa","70º (E)","5.4","0/8","-","-","-","-","-","-","Clear"
,,,,"12/02/2019","08Z","0.5","92%","1034.9 Hpa","350º (N)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","07Z","-0.5","94%","1034.0 Hpa","10º (N)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","06Z","-0.4","92%","1033.6 Hpa","60º (NE)","3.6","0/8","-","-","-","-","-","-0.4","Clear, mist"
,,,,"12/02/2019","05Z","0.5","92%","1033.6 Hpa","30º (NE)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","04Z","0.7","91%","1033.1 Hpa","30º (NE)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","03Z","1.4","91%","1033.4 Hpa","50º (NE)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","02Z","2.1","91%","1033.0 Hpa","360º (N)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","01Z","2.7","89%","1032.7 Hpa","240º (SW)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","00Z","3.4","86%","1032.2 Hpa","180º (S)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","23Z","4.8","79%","1031.4 Hpa","220º (SW)","5.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","22Z","6.0","76%","1031.4 Hpa","240º (SW)","5.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","21Z","6.8","71%","1029.9 Hpa","220º (SW)","7.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","20Z","8.5","63%","1029.0 Hpa","220º (SW)","7.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","19Z","9.9","55%","1028.2 Hpa","210º (SW)","7.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","18Z","11.8","51%","1027.1 Hpa","270º (W)","13.0","-","-","-","-","-","16.3","-","-"
,,,,"11/02/2019","17Z","14.4","44%","1026.3 Hpa","260º (W)","11.2","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","16Z","16.0","38%","1025.7 Hpa","280º (W)","16.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","15Z","16.1","38%","1025.6 Hpa","290º (W)","14.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","14Z","15.4","44%","1026.0 Hpa","280º (W)","13.0","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","13Z","14.1","47%","1026.6 Hpa","290º (W)","13.0","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","12Z","12.8","57%","1027.4 Hpa","290º (W)","13.0","3/8","1/8 CU","-","CI","-","-","-","Scattered clouds"
,,,,"11/02/2019","11Z","11.2","62%","1027.5 Hpa","270º (W)","14.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","10Z","9.5","69%","1027.4 Hpa","250º (W)","14.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","09Z","7.9","72%","1027.5 Hpa","250º (W)","14.8","4/8","-","-","CI","-","-","-","Scattered clouds"
,,,,"11/02/2019","08Z","5.5","78%","1026.8 Hpa","220º (SW)","9.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","07Z","5.0","78%","1026.1 Hpa","220º (SW)","9.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","06Z","5.6","72%","1025.1 Hpa","210º (SW)","9.4","0/8","-","-","-","-","-","5.6","Clear"
,,,,"11/02/2019","05Z","6.2","69%","1024.6 Hpa","220º (SW)","9.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","04Z","7.0","66%","1023.3 Hpa","280º (W)","14.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","03Z","7.3","67%","1022.9 Hpa","270º (W)","18.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","02Z","8.0","63%","1021.9 Hpa","270º (W)","20.5","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","01Z","8.5","63%","1021.7 Hpa","280º (W)","22.3","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","00Z","9.6","62%","1021.4 Hpa","260º (W)","20.5","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","23Z","10.2","64%","1021.2 Hpa","270º (W)","20.5","-","-","-","-","-","-","-","-"
