"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"BARDENAS REALES (SPAIN) ","08087","42.11 ","-01.28","13/02/2019","23Z","6.1","75%","1032.4 Hpa","95º (E)","18.7","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","6.6","74%","1032.2 Hpa","95º (E)","19.1","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","20Z","7.9","71%","1031.1 Hpa","93º (E)","16.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","8.5","70%","1030.8 Hpa","119º (SE)","7.9","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","11.4","62%","1029.8 Hpa","84º (E)","11.9","-","-","-","-","-","14.9","-","-"
,,,,"13/02/2019","17Z","14.5","48%","1029.2 Hpa","126º (SE)","11.5","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","14.9","46%","1029.3 Hpa","117º (SE)","16.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","14Z","13.8","48%","1029.9 Hpa","99º (E)","17.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","12.5","51%","1030.9 Hpa","93º (E)","12.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","10.6","59%","1032.1 Hpa","106º (E)","11.9","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","11Z","8.7","66%","1032.4 Hpa","107º (E)","3.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","5.7","75%","1032.7 Hpa","149º (SE)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","08Z","-0.6","90%","1033.2 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","-1.7","93%","1032.8 Hpa","322º (NW)","2.9","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","-1.6","93%","1032.5 Hpa","0º (N)","0.0","-","-","-","-","-","10.0","-1.7","-"
,,,,"13/02/2019","05Z","-1.2","93%","1032.6 Hpa","349º (N)","4.3","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","-0.4","91%","1032.4 Hpa","8º (N)","1.1","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","02Z","0.3","91%","1032.7 Hpa","287º (W)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","0.8","89%","1032.7 Hpa","348º (N)","2.9","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","1.2","90%","1032.5 Hpa","330º (NW)","1.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","23Z","2.7","83%","1032.4 Hpa","182º (S)","1.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","3.4","83%","1032.6 Hpa","95º (E)","5.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","20Z","5.7","73%","1031.8 Hpa","179º (S)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","19Z","8.0","63%","1031.4 Hpa","155º (SE)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","18Z","10.8","51%","1030.6 Hpa","270º (W)","8.6","-","-","-","-","-","14.8","-","-"
,,,,"12/02/2019","17Z","14.2","38%","1030.0 Hpa","300º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","16Z","13.9","38%","1030.0 Hpa","93º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","14Z","13.6","44%","1030.8 Hpa","236º (SW)","2.9","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","13Z","12.1","45%","1031.6 Hpa","195º (S)","5.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","12Z","10.7","55%","1032.7 Hpa","218º (SW)","5.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","11Z","9.2","63%","1033.6 Hpa","255º (W)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","10Z","7.5","71%","1033.8 Hpa","240º (SW)","6.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","08Z","2.2","89%","1034.6 Hpa","300º (NW)","10.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","07Z","1.8","91%","1034.0 Hpa","259º (W)","5.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","06Z","1.5","89%","1033.6 Hpa","251º (W)","4.3","-","-","-","-","-","8.5","1.5","-"
,,,,"12/02/2019","05Z","2.0","88%","1033.0 Hpa","308º (NW)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","04Z","2.6","87%","1032.6 Hpa","53º (NE)","2.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","02Z","5.2","79%","1032.8 Hpa","283º (W)","16.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","01Z","5.7","78%","1032.5 Hpa","298º (NW)","25.6","-","-","-","-","-","-","-","-"
