"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"MURCIA/SAN JAVIER (SPAIN) ",8433,"37.78 ","-0.8 ","13/02/2019","23Z","13.5","65%","1032.6 Hpa","50º (NE)","22.3","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","13.4","67%","1032.6 Hpa","50º (NE)","20.5","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","13.0","68%","1032.4 Hpa","60º (NE)","18.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","20Z","13.3","67%","1032.1 Hpa","70º (E)","22.3","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","13.3","69%","1032.0 Hpa","70º (E)","18.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","13.2","68%","1031.7 Hpa","70º (E)","16.6","3/8","2/8 CU","AC","-","-","16.0","-","Scattered clouds"
,,,,"13/02/2019","17Z","14.2","64%","1031.5 Hpa","70º (E)","18.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","14.9","61%","1031.6 Hpa","80º (E)","14.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","15.6","66%","1031.6 Hpa","60º (NE)","16.6","1/8","1/8 CU","-","-","-","-","-","Few clouds"
,,,,"13/02/2019","14Z","6.2","95%","1032.0 Hpa","50º (NE)","16.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z",,,"-","N/A",,"-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","14.9","65%","1032.8 Hpa","70º (E)","13.0","1/8","1/8 CU","-","-","-","-","-","Few clouds"
,,,,"13/02/2019","11Z",,,"-","N/A",,"-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","6.2","96%","-","N/A",,"-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","6.2","95%","1032.7 Hpa","260º (W)","7.6","1/8","-","1/8 AC","-","-","-","-","Few clouds"
,,,,"13/02/2019","08Z","6.2","95%","1032.6 Hpa","280º (W)","9.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","6.2","95%","1032.2 Hpa","290º (W)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","6.2","95%","1031.7 Hpa","290º (W)","7.6","2/8","1/8 SC","AC","-","-","-","6.2","Few clouds"
,,,,"13/02/2019","05Z","6.2","95%","1031.6 Hpa","320º (NW)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","6.2","95%","1031.7 Hpa","300º (NW)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","6.2","95%","1032.0 Hpa","260º (W)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","02Z","6.2","95%","1032.3 Hpa","230º (SW)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","6.2","95%","1032.6 Hpa","310º (NW)","9.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","6.3","95%","1033.0 Hpa","310º (NW)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","23Z","6.9","92%","1033.2 Hpa","310º (NW)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","7.6","88%","1033.5 Hpa","310º (NW)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","21Z","9.9","80%","1033.4 Hpa","300º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","20Z","12.9","81%","1033.2 Hpa","100º (E)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","19Z","12.9","80%","1033.1 Hpa","90º (E)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","18Z","13.3","78%","1032.9 Hpa","80º (E)","9.4","1/8","1/8 ST","-","-","-","17.1","-","Few clouds"
,,,,"12/02/2019","17Z","14.8","72%","1032.6 Hpa","90º (E)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","16Z","15.3","69%","1032.6 Hpa","90º (E)","13.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","15Z","16.2","65%","1032.5 Hpa","70º (E)","13.0","4/8","4/8 CU/ST","-","-","-","-","-","Scattered clouds"
,,,,"12/02/2019","14Z","16.1","63%","1032.6 Hpa","80º (E)","14.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","13Z","16.0","62%","1032.8 Hpa","80º (E)","16.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","12Z","16.5","60%","1033.3 Hpa","60º (NE)","14.8","5/8","5/8 CU/ST","-","-","-","-","-","Cloudy"
,,,,"12/02/2019","11Z","15.5","63%","1033.6 Hpa","30º (NE)","13.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","10Z","15.0","64%","1033.3 Hpa","30º (NE)","14.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","09Z","13.9","67%","1032.6 Hpa","10º (N)","14.8","3/8","3/8 CU/ST","-","-","-","-","-","Scattered clouds"
,,,,"12/02/2019","08Z","11.5","79%","1032.0 Hpa","10º (N)","14.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","07Z","8.6","87%","1031.2 Hpa","350º (N)","13.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","06Z","8.9","87%","1030.9 Hpa","350º (N)","13.0","0/8","-","-","-","-","-","8.8","Clear"
,,,,"12/02/2019","05Z","9.8","85%","1030.4 Hpa","340º (N)","13.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","04Z","11.9","74%","1030.1 Hpa","20º (N)","13.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","03Z","12.8","77%","1030.2 Hpa","20º (N)","14.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","02Z","12.7","76%","1030.4 Hpa","20º (N)","13.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","01Z","12.6","75%","1030.4 Hpa","350º (N)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","00Z","13.3","76%","1030.3 Hpa","40º (NE)","11.2","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","23Z","13.4","78%","1030.2 Hpa","50º (NE)","14.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","22Z","13.6","79%","1030.0 Hpa","60º (NE)","18.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","21Z","13.8","77%","1029.4 Hpa","70º (E)","14.8","-","-","-","-","-","-","-","-"
