"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"TOLEDO (SPAIN) ","08272","39.53 ","-04.02","13/02/2019","23Z","7.0","46%","1030.8 Hpa","90º (E)","11.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","7.1","66%","1030.6 Hpa","100º (E)","13.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","9.3","61%","1029.8 Hpa","80º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","20Z","10.3","58%","1029.2 Hpa","110º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","11.8","52%","1028.6 Hpa","50º (NE)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","13.3","48%","1027.7 Hpa","20º (N)","11.2","-","-","-","-","-","17.8","-","-"
,,,,"13/02/2019","17Z","16.6","39%","1026.9 Hpa","70º (E)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","17.3","38%","1027.0 Hpa","120º (SE)","9.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","17.4","39%","1027.2 Hpa","110º (E)","11.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","14Z","16.9","39%","1027.7 Hpa","110º (E)","9.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","15.3","46%","1028.8 Hpa","100º (E)","11.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","14.0","53%","1029.9 Hpa","120º (SE)","9.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","11Z","10.9","61%","1031.0 Hpa","110º (E)","13.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","7.9","71%","1031.7 Hpa","120º (SE)","14.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","5.1","73%","1032.5 Hpa","120º (SE)","11.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","08Z","2.4","89%","1032.8 Hpa","110º (E)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","0.6","92%","1032.6 Hpa","140º (SE)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","1.2","93%","1032.2 Hpa","110º (E)","7.6","-","-","-","-","-","-","0.7","-"
,,,,"13/02/2019","05Z","0.9","91%","1032.4 Hpa","110º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","1.8","89%","1032.1 Hpa","120º (SE)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","2.2","85%","1032.2 Hpa","170º (S)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","02Z","3.2","83%","1032.1 Hpa","230º (SW)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","4.1","77%","1032.0 Hpa","120º (SE)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","5.3","72%","1031.9 Hpa","100º (E)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","23Z","6.5","67%","1031.7 Hpa","70º (E)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","6.8","67%","1032.0 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","21Z","8.7","60%","1031.3 Hpa","110º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","20Z","9.4","57%","1030.8 Hpa","120º (SE)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","19Z","10.6","52%","1030.4 Hpa","20º (N)","11.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","18Z","11.5","52%","1029.6 Hpa","20º (N)","13.0","-","-","-","-","-","16.5","-","-"
,,,,"12/02/2019","17Z","15.0","45%","1028.6 Hpa","50º (NE)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","16Z","16.3","40%","1028.3 Hpa","110º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","15Z","15.9","41%","1028.4 Hpa","100º (E)","7.6","-","-","-","-","-","-","-","-"
