"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"BADAJOZ/TALAVERA LA REAL (SPAIN) ","08330","38.53 ","-06.49","13/02/2019","23Z","8.7","83%","1028.1 Hpa","110º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","10.2","78%","1027.9 Hpa","80º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","11.6","72%","1027.4 Hpa","110º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","20Z","12.8","67%","1027.1 Hpa","110º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","13.9","63%","1027.0 Hpa","90º (E)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","15.8","57%","1026.6 Hpa","80º (E)","11.2","0/8","-","-","-","-","19.6","-","Clear"
,,,,"13/02/2019","17Z","18.3","47%","1026.4 Hpa","100º (E)","14.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","19.2","42%","1026.4 Hpa","80º (E)","18.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","19.6","39%","1026.7 Hpa","100º (E)","16.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","14Z","18.4","49%","1027.2 Hpa","60º (NE)","11.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","17.9","50%","1028.1 Hpa","90º (E)","11.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","16.3","54%","1029.3 Hpa","80º (E)","9.4","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","11Z","14.7","62%","1029.9 Hpa","90º (E)","9.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","11.3","75%","1030.3 Hpa","100º (E)","9.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","7.6","87%","1030.7 Hpa","110º (E)","9.4","3/8","-","3/8 AC","-","-","-","-","Scattered clouds"
,,,,"13/02/2019","08Z","4.6","95%","1030.7 Hpa","80º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","4.0","95%","1030.2 Hpa","80º (E)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","3.8","93%","1030.0 Hpa","100º (E)","7.6","3/8","-","2/8 AC","CI/CS","-","-","3.8","Scattered clouds"
,,,,"13/02/2019","05Z","4.5","91%","1029.7 Hpa","50º (NE)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","4.7","91%","1029.7 Hpa","270º (W)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","5.3","88%","1029.9 Hpa","310º (NW)","1.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","02Z","5.8","86%","1029.9 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","6.5","84%","1030.0 Hpa","70º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","7.0","81%","1029.9 Hpa","130º (SE)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","23Z","8.0","76%","1029.7 Hpa","100º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","9.2","71%","1029.9 Hpa","70º (E)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","21Z","10.6","65%","1029.8 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","20Z","11.5","60%","1029.5 Hpa","100º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","19Z","13.1","52%","1029.1 Hpa","40º (NE)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","18Z","15.1","48%","1028.5 Hpa","50º (NE)","9.4","0/8","-","-","-","-","18.5","-","Clear"
,,,,"12/02/2019","17Z","17.4","40%","1028.1 Hpa","60º (NE)","11.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","16Z","18.4","39%","1027.8 Hpa","60º (NE)","14.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","15Z","18.3","42%","1028.1 Hpa","80º (E)","14.8","0/8","-","-","-","-","-","-","Clear"
,,,,"12/02/2019","14Z","17.5","43%","1028.4 Hpa","80º (E)","13.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","13Z","16.3","45%","1029.2 Hpa","80º (E)","16.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","12Z","14.9","50%","1030.3 Hpa","70º (E)","18.4","0/8","-","-","-","-","-","-","Clear"
,,,,"12/02/2019","11Z","12.8","57%","1030.9 Hpa","90º (E)","18.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","10Z","9.8","76%","1031.2 Hpa","70º (E)","13.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","09Z","4.9","100%","1031.3 Hpa","60º (NE)","3.6","0/8","-","-","-","-","-","-","Clear"
,,,,"12/02/2019","08Z","2.5","97%","1031.0 Hpa","130º (SE)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","07Z","2.9","97%","1030.4 Hpa","100º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","06Z","3.0","97%","1030.2 Hpa","180º (S)","1.8","0/8","-","-","-","-","-","3.0","Clear"
,,,,"12/02/2019","05Z","3.2","97%","1029.9 Hpa","270º (W)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","04Z","3.7","95%","1029.8 Hpa","100º (E)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","03Z","4.3","95%","1029.7 Hpa","90º (E)","5.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","02Z","4.8","93%","1030.0 Hpa","60º (NE)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","01Z","6.3","93%","1029.9 Hpa","160º (S)","1.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","00Z","7.2","92%","1030.0 Hpa","220º (SW)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","23Z","8.1","89%","1029.7 Hpa","290º (W)","5.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","22Z","8.2","86%","1029.4 Hpa","270º (W)","1.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","21Z","9.5","82%","1029.0 Hpa","20º (N)","1.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","20Z","10.8","75%","1028.7 Hpa","340º (N)","1.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","19Z","11.9","69%","1028.4 Hpa","350º (N)","5.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","18Z","13.1","65%","1027.7 Hpa","10º (N)","7.6","0/8","-","-","-","-","16.5","-","Clear"
,,,,"11/02/2019","17Z","14.8","59%","1027.2 Hpa","10º (N)","11.2","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","12Z","13.0","68%","1029.0 Hpa","260º (W)","3.6","1/8","-","1/8 AC","CI","-","-","-","Few clouds"
,,,,"11/02/2019","11Z","10.4","80%","1029.4 Hpa","340º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","10Z","7.4","99%","1029.8 Hpa","260º (W)","5.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","09Z","5.7","100%","1029.6 Hpa","270º (W )","5.6","N/A "," N/A ","N/A","N/A","-","-","-","fog"
,,,,"11/02/2019","08Z","5.7","99%","1029.1 Hpa","280º (W)","5.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","07Z","6.2","99%","1028.3 Hpa","260º (W)","5.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","06Z","6.4","97%","1028.0 Hpa","270º (W )","7.4","N/A "," N/A ","N/A","N/A","Tr(12h)","-","6.4","fog"
,,,,"11/02/2019","05Z","7.0","97%","1027.4 Hpa","260º (W)","7.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","04Z","7.9","94%","1027.3 Hpa","270º (W)","7.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","03Z","8.5","94%","1027.5 Hpa","320º (NW)","11.2","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","02Z","10.4","92%","1027.1 Hpa","280º (W)","5.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","01Z","12.1","91%","1026.8 Hpa","280º (W)","16.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","00Z","12.9","94%","1026.3 Hpa","240º (SW)","7.6","-","-","-","-","Tr(6h)","-","-","-"
,,,,"10/02/2019","23Z","13.2","94%","1026.7 Hpa","230º (SW)","5.4","-","-","-","-","Tr(1h)","-","-","Drizzle"
,,,,"10/02/2019","22Z","13.3","94%","1026.4 Hpa","220º (SW)","5.4","-","-","-","-","Tr(1h)","-","-","Drizzle or snow grains"
,,,,"10/02/2019","21Z","13.8","87%","1026.1 Hpa","220º (SW)","7.6","-","-","-","-","Tr(3h)","-","-","Drizzle"
,,,,"10/02/2019","20Z","14.5","82%","1025.8 Hpa","240º (SW)","9.4","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","19Z","14.9","78%","1025.7 Hpa","230º (SW)","5.4","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","18Z","15.5","73%","1025.5 Hpa","240º (SW)","9.4","8/8","4/8 CU/ST","AC","N/A","Tr(12h)","17.2","-","Overcast"
,,,,"10/02/2019","17Z","16.0","69%","1025.3 Hpa","240º (SW)","11.2","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","16Z","16.2","68%","1025.0 Hpa","210º (SW)","9.4","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","15Z","16.2","65%","1025.3 Hpa","230º (SW)","9.4","6/8","3/8 CU/ST","AC","CI/CS","-","-","-","Cloudy"
,,,,"10/02/2019","14Z","17.1","62%","1025.5 Hpa","250º (W)","13.0","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","13Z","16.8","63%","1025.9 Hpa","240º (SW)","13.0","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","12Z","15.8","67%","1026.7 Hpa","250º (W)","14.8","7/8","4/8 CU/ST","AC","CI/CS","Tr(6h)","-","-","Cloudy"
,,,,"10/02/2019","11Z","13.6","71%","1026.5 Hpa","220º (SW)","9.4","-","-","-","-","Tr(1h)","-","-","Drizzle or snow grains"
,,,,"10/02/2019","10Z","11.5","82%","1026.8 Hpa","220º (SW)","5.4","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","09Z","9.0","92%","1027.0 Hpa","190º (S)","7.6","7/8","2/8 SC","AC","N/A","-","-","-","Cloudy"
,,,,"10/02/2019","08Z","6.1","97%","1026.6 Hpa","110º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","07Z","5.6","97%","1026.1 Hpa","80º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","06Z","5.2","97%","1025.4 Hpa","60º (NE)","3.6","8/8","8/8 SC","-","-","-","-","4.4","Overcast"
,,,,"10/02/2019","05Z","4.6","97%","1025.3 Hpa","110º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","04Z","4.8","97%","1025.1 Hpa","110º (E)","1.8","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","03Z","5.3","93%","1024.9 Hpa","260º (W)","3.6","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","02Z","6.6","93%","1024.9 Hpa","140º (SE)","1.8","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","01Z","7.4","90%","1025.0 Hpa","90º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","00Z","8.2","90%","1024.9 Hpa","310º (NW)","9.4","-","-","-","-","-","-","-","-"
,,,,"09/02/2019","23Z","8.9","86%","1024.7 Hpa","260º (W)","1.8","-","-","-","-","-","-","-","-"
,,,,"09/02/2019","22Z","9.5","84%","1024.7 Hpa","180º (S)","7.6","-","-","-","-","-","-","-","-"
,,,,"09/02/2019","21Z","9.1","83%","1024.4 Hpa","190º (S)","3.6","-","-","-","-","-","-","-","-"
,,,,"09/02/2019","20Z","9.2","83%","1024.2 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"09/02/2019","19Z","10.4","78%","1023.7 Hpa","270º (W)","1.8","-","-","-","-","-","-","-","-"
,,,,"09/02/2019","18Z","12.4","71%","1023.0 Hpa","280º (W)","3.6","5/8","1/8 SC","AC","CI/CS","-","14.7","-","Cloudy"
,,,,"09/02/2019","17Z","13.3","68%","1022.9 Hpa","310º (NW)","5.4","-","-","-","-","-","-","-","-"
,,,,"09/02/2019","16Z","14.2","63%","1023.0 Hpa","300º (NW)","7.6","-","-","-","-","-","-","-","-"
,,,,"09/02/2019","15Z","14.6","65%","1023.0 Hpa","20º (N)","7.6","3/8","3/8 SC","-","-","-","-","-","Scattered clouds"
,,,,"09/02/2019","14Z","13.6","68%","1023.8 Hpa","310º (NW)","5.4","-","-","-","-","-","-","-","-"
,,,,"09/02/2019","13Z","13.5","69%","1024.4 Hpa","320º (NW)","3.6","-","-","-","-","-","-","-","-"
