"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"FARO/AEROPORTO (PORTUGAL) ","08554","37.01 ","-07.58","13/02/2019","23Z","13.4","86%","1027.3 Hpa","70º (E)","18.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","13.2","85%","1027.4 Hpa","60º (NE)","14.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","13.6","82%","1027.1 Hpa","70º (E)","10.8","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","20Z","13.7","76%","1026.9 Hpa","60º (NE)","10.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","15.1","71%","1026.8 Hpa","80º (E)","14.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","15.6","67%","1026.8 Hpa","80º (E)","21.6","0/8","-","-","-","-","17.6","-","Clear"
,,,,"13/02/2019","17Z","16.5","60%","1026.8 Hpa","80º (E)","25.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","16.9","59%","1026.9 Hpa","80º (E)","25.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","17.5","57%","1026.8 Hpa","80º (E)","28.8","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","14Z","16.9","55%","1027.4 Hpa","80º (E)","25.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","16.7","58%","1028.0 Hpa","70º (E)","32.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","16.5","54%","1028.6 Hpa","80º (E)","28.8","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","11Z","16.2","56%","1028.9 Hpa","80º (E)","25.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","15.2","61%","1028.8 Hpa","80º (E)","25.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","13.4","64%","1028.6 Hpa","70º (E)","25.2","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","08Z","11.3","70%","1028.6 Hpa","50º (NE)","14.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","11.4","68%","1028.1 Hpa","60º (NE)","18.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","11.3","71%","1027.7 Hpa","50º (NE)","14.4","0/8","-","-","-","-","-","11.0","Clear"
,,,,"13/02/2019","05Z","11.6","71%","1027.8 Hpa","60º (NE)","14.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","12.0","74%","1027.8 Hpa","70º (E)","18.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","12.7","79%","1027.8 Hpa","70º (E)","21.6","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","02Z","12.9","80%","1028.1 Hpa","60º (NE)","18.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","14.0","68%","1028.4 Hpa","80º (E)","21.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","13.5","76%","1028.7 Hpa","70º (E)","14.4","0/8","-","-","-","-","-","-","Clear"
