"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"SEVILLA/SAN PABLO (SPAIN) ","08391","37.25 ","-05.52","13/02/2019","23Z","8.5","87%","1027.8 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","9.4","84%","1027.7 Hpa","130º (SE)","5.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","9.7","83%","1027.3 Hpa","160º (S)","7.6","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","20Z","12.2","73%","1026.9 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","14.5","65%","1026.7 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","17.3","51%","1026.3 Hpa","220º (SW)","7.6","0/8","-","-","-","-","20.3","-","Clear"
,,,,"13/02/2019","17Z","19.8","44%","1026.1 Hpa","230º (SW)","9.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","20.3","39%","1026.3 Hpa","130º (SE)","7.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","20.1","41%","1026.7 Hpa","120º (SE)","7.6","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","14Z","19.5","41%","1026.9 Hpa","100º (E)","11.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","18.4","45%","1027.6 Hpa","90º (E)","16.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","17.2","50%","1028.6 Hpa","80º (E)","18.4","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","11Z","15.7","56%","1029.1 Hpa","90º (E)","22.3","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","13.6","70%","1029.2 Hpa","50º (NE)","20.5","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","11.4","72%","1029.2 Hpa","50º (NE)","16.6","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","08Z","8.7","83%","1029.0 Hpa","60º (NE)","13.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","8.3","86%","1028.3 Hpa","70º (E)","13.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","8.7","84%","1028.0 Hpa","70º (E)","18.4","0/8","-","-","-","-","-","8.4","Clear"
,,,,"13/02/2019","05Z","9.1","84%","1028.0 Hpa","70º (E)","16.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","9.1","86%","1028.0 Hpa","70º (E)","11.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","9.5","86%","1028.3 Hpa","50º (NE)","13.0","0/8","-","-","-","-","-","-","Clear"
,,,,"13/02/2019","02Z","9.8","83%","1028.6 Hpa","60º (NE)","13.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","8.5","87%","1028.9 Hpa","30º (NE)","14.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","8.4","86%","1029.1 Hpa","30º (NE)","11.2","0/8","-","-","-","-","-","-","Clear"
,,,,"12/02/2019","23Z","9.3","82%","1029.3 Hpa","30º (NE)","13.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","9.8","83%","1029.6 Hpa","30º (NE)","13.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","21Z","12.0","70%","1029.4 Hpa","60º (NE)","11.2","0/8","-","-","-","-","-","-","Clear"
,,,,"12/02/2019","20Z","12.2","76%","1029.2 Hpa","30º (NE)","13.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","19Z","14.3","72%","1028.8 Hpa","70º (E)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","18Z","15.9","66%","1028.0 Hpa","120º (SE)","11.2","3/8","-","-","CI","-","20.8","6.9","Scattered clouds"
,,,,"12/02/2019","17Z","18.7","58%","1027.5 Hpa","110º (E)","18.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","16Z","19.7","56%","1027.3 Hpa","100º (E)","22.3","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","15Z","20.7","49%","1027.1 Hpa","50º (NE)","7.6","4/8","4/8 CU/ST","-","-","-","-","-","Scattered clouds"
,,,,"12/02/2019","14Z","20.6","51%","1027.4 Hpa","70º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","13Z","19.2","59%","1028.2 Hpa","50º (NE)","11.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","12Z","18.3","62%","1029.0 Hpa","60º (NE)","9.4","0/8","-","-","-","-","-","-","Clear"
,,,,"12/02/2019","11Z","16.4","68%","1029.4 Hpa","60º (NE)","14.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","10Z","13.8","76%","1029.6 Hpa","50º (NE)","14.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","09Z","11.1","82%","1029.1 Hpa","50º (NE)","13.0","0/8","-","-","-","-","-","-","Clear"
,,,,"12/02/2019","08Z","8.6","90%","1028.4 Hpa","50º (NE)","16.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","07Z","7.6","92%","1027.8 Hpa","40º (NE)","11.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","06Z","7.4","90%","1027.6 Hpa","360º (N)","7.6","0/8","-","-","-","-","-","7.4","Clear"
,,,,"12/02/2019","05Z","7.7","92%","1027.5 Hpa","110º (E)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","04Z","7.7","90%","1027.3 Hpa","20º (N)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","03Z","8.5","86%","1027.7 Hpa","40º (NE)","7.6","0/8","-","-","-","-","-","-","Clear"
,,,,"12/02/2019","02Z","8.7","83%","1027.9 Hpa","80º (E)","7.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","01Z","10.1","75%","1028.0 Hpa","60º (NE)","9.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","00Z","9.9","81%","1027.9 Hpa","40º (NE)","1.8","0/8","-","-","-","-","-","-","Clear"
,,,,"11/02/2019","23Z","10.8","82%","1028.0 Hpa","50º (NE)","7.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","22Z","10.7","88%","1027.7 Hpa","50º (NE)","9.4","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","21Z","11.6","86%","1027.3 Hpa","80º (E)","3.6","0/8","-","-","-","-","-","-","Clear"
