"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"COIMBRA/CERNACHE (PORTUGAL) ","08548","40.09 ","-08.28","13/02/2019","23Z","13.7","61%","1027.1 Hpa","0º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","12.8","65%","1027.3 Hpa","0º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","12.8","69%","1027.2 Hpa","0º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","20Z","12.4","73%","1027.2 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","15.1","63%","1026.9 Hpa","170º (S)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","16.9","54%","1026.3 Hpa","200º (S)","3.6","-","-","-","-","-","20.2","-","-"
,,,,"13/02/2019","17Z","18.8","51%","1026.2 Hpa","200º (S)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","19.6","50%","1026.3 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","19.4","49%","1026.6 Hpa","220º (SW)","14.4","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","14Z","18.3","48%","1027.0 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","13Z","17.4","51%","1028.0 Hpa","30º (NE)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","12Z","16.6","51%","1028.9 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","11Z","14.9","50%","1029.3 Hpa","90º (E)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","10Z","12.9","54%","1029.4 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","09Z","10.1","60%","1029.6 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","08Z","7.7","66%","1029.6 Hpa","60º (NE)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","07Z","7.5","66%","1029.2 Hpa","70º (E)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","8.4","62%","1029.1 Hpa","0º (N)","7.2","-","-","-","-","-","-","8.0","-"
,,,,"13/02/2019","05Z","8.5","63%","1029.0 Hpa","80º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","8.4","65%","1029.1 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","8.4","65%","1029.3 Hpa","70º (E)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","02Z","9.4","61%","1029.4 Hpa","0º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","10.0","60%","1029.6 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","10.2","61%","1029.5 Hpa","0º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","23Z","10.9","58%","1029.5 Hpa","80º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","11.5","56%","1029.7 Hpa","100º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","21Z","12.1","56%","1029.4 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","20Z","12.3","60%","1029.5 Hpa","0º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","19Z","12.2","64%","1029.4 Hpa","50º (NE)","7.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","18Z","14.6","55%","1029.0 Hpa","60º (NE)","3.6","-","-","-","-","-","17.6","-","-"
,,,,"12/02/2019","17Z","16.9","50%","1028.7 Hpa","50º (NE)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","16Z","17.4","45%","1028.6 Hpa","0º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","15Z","16.9","48%","1028.5 Hpa","50º (NE)","7.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","14Z","16.5","48%","1029.1 Hpa","0º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","13Z","15.2","52%","1029.8 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","12Z","14.1","52%","1030.5 Hpa","80º (E)","10.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","11Z","12.3","57%","1030.9 Hpa","60º (NE)","7.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","10Z","10.2","60%","1030.8 Hpa","70º (E)","10.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","09Z","8.7","62%","1030.8 Hpa","70º (E)","14.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","08Z","7.4","67%","1030.5 Hpa","70º (E)","14.4","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","07Z","7.2","68%","1030.0 Hpa","70º (E)","10.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","06Z","7.2","69%","1029.9 Hpa","70º (E)","10.8","-","-","-","-","-","-","6.7","-"
,,,,"12/02/2019","05Z","7.6","66%","1030.1 Hpa","100º (E)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","04Z","8.2","64%","1030.0 Hpa","60º (NE)","10.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","03Z","8.1","66%","1030.1 Hpa","80º (E)","7.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","02Z","8.7","65%","1030.2 Hpa","50º (NE)","10.8","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","01Z","8.9","68%","1030.4 Hpa","70º (E)","7.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","00Z","8.8","73%","1030.5 Hpa","70º (E)","7.2","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","23Z","9.0","76%","1030.6 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","22Z","7.7","87%","1030.5 Hpa","0º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","21Z","8.3","83%","1030.3 Hpa","20º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","20Z","8.9","82%","1029.9 Hpa","30º (NE)","7.2","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","19Z","9.9","80%","1029.9 Hpa","10º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","18Z","11.6","75%","1029.3 Hpa","340º (N)","7.2","-","-","-","-","-","15.3","-","-"
