"location","WMO-index","latitude","longitude","Date","UTC time","Temp. (ºC)","Rel. Hum. (%)","Pressure/ Geopot.","Wind dir","Wins speed (Km/h)","Clouds","Low clouds","Medium clouds","High clouds","Prec. (mm)","Max temp. (ºC)","Min temp. (ºC)","Conditions"
"BRAGANCA (PORTUGAL) ","08575","41.48 ","-06.44","13/02/2019","23Z","4.2","72%","1031.4 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","22Z","5.4","67%","1031.0 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","21Z","6.8","61%","1030.3 Hpa","320º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","20Z","7.8","59%","1029.9 Hpa","330º (NW)","7.2","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","19Z","10.8","42%","1028.6 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","18Z","12.1","41%","1028.0 Hpa","180º (S)","7.2","-","-","-","-","-","15.5","-","-"
,,,,"13/02/2019","17Z","12.8","38%","1027.7 Hpa","170º (S)","10.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","16Z","14.4","36%","1027.4 Hpa","170º (S)","10.8","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","15Z","14.9","37%","1027.4 Hpa","180º (S)","10.8","1/8","-","-","CI","-","-","-","Few clouds"
,,,,"13/02/2019","14Z","15.0","38%","1027.5 Hpa","0º (N)","7.2","1/8","-","-","CI","-","-","-","Few clouds"
,,,,"13/02/2019","13Z","13.8","42%","1028.6 Hpa","0º (N)","7.2","1/8","-","-","CI","-","-","-","Few clouds"
,,,,"13/02/2019","12Z","11.6","40%","1030.2 Hpa","0º (N)","3.6","1/8","-","-","CI","-","-","-","Few clouds"
,,,,"13/02/2019","11Z","7.0","67%","1032.0 Hpa","0º (N)","0.0","2/8","-","-","CI","-","-","-","Few clouds, fog or ice fog"
,,,,"13/02/2019","10Z","4.7","73%","1032.7 Hpa","0º (N)","3.6","2/8","-","-","CI","-","-","-","Few clouds, fog in patches"
,,,,"13/02/2019","09Z","1.0","82%","1033.9 Hpa","0º (N)","0.0","2/8","1/8 CU","-","CI","-","-","-","Few clouds, fog in patches"
,,,,"13/02/2019","08Z","-0.8","90%","1034.1 Hpa","0º (N)","0.0","2/8","1/8 CU","-","CI","-","-","-","Few clouds, fog in patches"
,,,,"13/02/2019","07Z","-1.6","93%","1034.2 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","06Z","-1.4","94%","1033.9 Hpa","0º (N)","0.0","-","-","-","-","-","-","-1.4","-"
,,,,"13/02/2019","05Z","-0.8","92%","1033.6 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","04Z","-0.4","88%","1033.8 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","03Z","0.0","88%","1033.9 Hpa","320º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","02Z","0.6","85%","1033.7 Hpa","350º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","01Z","1.0","86%","1033.9 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"13/02/2019","00Z","1.5","86%","1033.7 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","23Z","3.2","78%","1033.3 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","22Z","4.9","69%","1032.9 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","21Z","6.1","66%","1032.3 Hpa","320º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","20Z","6.8","63%","1032.0 Hpa","360º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","19Z","9.5","41%","1031.3 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","18Z","11.0","37%","1030.2 Hpa","170º (S)","3.6","-","-","-","-","-","13.5","-","-"
,,,,"12/02/2019","17Z","11.9","41%","1029.7 Hpa","170º (S)","7.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","16Z","13.2","41%","1029.3 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","15Z","12.7","47%","1029.6 Hpa","190º (S)","7.2","2/8","1/8 CU","-","CI","-","-","-","Few clouds"
,,,,"12/02/2019","14Z","11.1","50%","1030.7 Hpa","0º (N)","3.6","2/8","1/8 CU","-","CI","-","-","-","Few clouds"
,,,,"12/02/2019","13Z","10.7","54%","1031.5 Hpa","170º (S)","7.2","2/8","1/8 CU","-","CI","-","-","-","Few clouds"
,,,,"12/02/2019","12Z","9.5","59%","1032.9 Hpa","0º (N)","3.6","3/8","1/8 CU","-","CI","-","-","-","Scattered clouds"
,,,,"12/02/2019","11Z","7.3","65%","1033.8 Hpa","0º (N)","0.0","3/8","-","-","CI","-","-","-","Scattered clouds, fog or ice fog"
,,,,"12/02/2019","10Z","6.0","68%","1034.3 Hpa","0º (N)","3.6","3/8","-","-","CI","-","-","-","Scattered clouds, fog in patches"
,,,,"12/02/2019","09Z","2.9","77%","1035.2 Hpa","0º (N)","0.0","2/8","-","-","CI","-","-","-","Few clouds, fog in patches"
,,,,"12/02/2019","08Z","1.8","82%","1035.4 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","07Z","1.4","83%","1035.0 Hpa","310º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","06Z","1.7","82%","1034.9 Hpa","0º (N)","3.6","-","-","-","-","-","-","1.7","-"
,,,,"12/02/2019","05Z","2.3","79%","1034.8 Hpa","0º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","04Z","1.8","80%","1035.4 Hpa","320º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","03Z","2.4","79%","1035.8 Hpa","30º (NE)","3.6","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","02Z","2.6","78%","1036.0 Hpa","10º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","01Z","3.8","72%","1035.5 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"12/02/2019","00Z","3.9","70%","1035.3 Hpa","0º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","23Z","3.8","73%","1034.9 Hpa","330º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","22Z","4.1","77%","1034.2 Hpa","320º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","21Z","5.1","75%","1033.6 Hpa","320º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","20Z","6.1","69%","1032.8 Hpa","10º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","19Z","7.9","57%","1031.9 Hpa","130º (SE)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","18Z","9.4","52%","1030.7 Hpa","160º (S)","7.2","-","-","-","-","-","12.4","-","-"
,,,,"11/02/2019","17Z","10.5","49%","1029.9 Hpa","180º (S)","10.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","16Z","11.6","47%","1029.3 Hpa","170º (S)","10.8","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","15Z","12.0","48%","1029.3 Hpa","0º (N)","7.2","2/8","1/8 CU","-","CI","-","-","-","Few clouds"
,,,,"11/02/2019","14Z","11.0","55%","1029.9 Hpa","0º (N)","7.2","2/8","1/8 CU","-","CI","-","-","-","Few clouds"
,,,,"11/02/2019","13Z","9.6","57%","1030.8 Hpa","0º (N)","3.6","3/8","2/8 CU","-","CI","-","-","-","Scattered clouds"
,,,,"11/02/2019","12Z","8.2","64%","1031.9 Hpa","0º (N)","3.6","3/8","2/8 CU","-","CI","-","-","-","Scattered clouds"
,,,,"11/02/2019","11Z","6.4","64%","1032.4 Hpa","0º (N)","3.6","3/8","2/8 CU","-","CI","-","-","-","Scattered clouds, fog or ice fog"
,,,,"11/02/2019","10Z","3.6","77%","1033.4 Hpa","340º (N)","3.6","4/8","2/8 CU","AC","CI","-","-","-","Scattered clouds, fog in patches"
,,,,"11/02/2019","09Z","2.5","84%","1033.7 Hpa","calm.",,"4/8 ","3/8   CU "," AC"," CI"," 2.0(24h)","-","-","Scattered clouds, fog"
,,,,"11/02/2019","08Z","-0.1","93%","1033.8 Hpa","0º (N)","3.6","4/8","2/8 CU","AC","CI","-","-","-","Scattered clouds, fog in patches"
,,,,"11/02/2019","07Z","-0.2","92%","1033.1 Hpa","350º (N)","3.6","4/8","-","-","CI","-","-","-","Scattered clouds, fog in patches"
,,,,"11/02/2019","06Z","-0.2","93%","1032.4 Hpa","0º (N)","0.0","-","-","-","-","-","-","-0.3","-"
,,,,"11/02/2019","05Z","0.8","85%","1031.3 Hpa","0º (N)","0.0","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","04Z","1.3","86%","1030.1 Hpa","330º (NW)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","03Z","2.2","81%","1029.7 Hpa","10º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","02Z","3.2","76%","1029.0 Hpa","10º (N)","3.6","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","01Z","4.4","70%","1028.3 Hpa","320º (NW)","7.2","-","-","-","-","-","-","-","-"
,,,,"11/02/2019","00Z","4.6","72%","1028.1 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","23Z","5.7","70%","1027.8 Hpa","0º (N)","10.8","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","22Z","5.8","75%","1026.8 Hpa","300º (NW)","18.0","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","21Z","6.1","77%","1026.2 Hpa","0º (N)","7.2","-","-","-","-","2.0(12h)","-","-","-"
,,,,"10/02/2019","20Z","6.8","76%","1025.7 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","19Z","8.0","71%","1025.0 Hpa","0º (N)","7.2","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","18Z","9.3","66%","1023.7 Hpa","310º (NW)","10.8","-","-","-","-","3.0(12h)","13.1","-","-"
,,,,"10/02/2019","17Z","10.4","62%","1022.6 Hpa","0º (N)","10.8","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","16Z","11.5","65%","1021.7 Hpa","280º (W)","10.8","-","-","-","-","-","-","-","-"
,,,,"10/02/2019","15Z","11.4","76%","1021.0 Hpa","0º (N)","10.8","-","-","-","-","-","-","-","-"
